,song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,semi_final,semi_draw_position,final_draw_position,country,language,style,direct_qualifier_10,gender,main_singers,age,selection,key_change_10,backing_dancers,backing_singers,backing_instruments,instrument_10,qualified_10,final_televote_points,final_jury_points,final_televote_votes,final_jury_votes,final_place,final_total_points,semi_place,semi_televote_points,semi_jury_points,semi_total_points,favourite_10,race,host_10
0,Queen of Kings,Alessandra,0.563,0.908,4,-4.25,0,0.0868,0.0696,0.0,0.328,0.171,125.972,2023,1,1,20,Norway,English,Pop,0,Female,1,unknown,unknown,unknown,4,0,0,0,1,216.0,52.0,36.0,11.0,5.0,268.0,6.0,102.0,,102.0,0,unknown,0
1,Dance (Our Own Party),The Busker,0.695,0.778,5,-5.634,0,0.0407,0.0217,0.00359,0.182,0.824,103.015,2023,1,2,,Malta,English,Pop,-,Male,1,unknown,unknown,unknown,0,0,2,0,0,,,,,,,15.0,3.0,,3.0,0,unknown,0
2,Samo mi se spava,Luke Black,0.551,0.73,9,-8.288,1,0.0575,0.00839,0.00348,0.443,0.124,103.031,2023,1,3,5,Serbia,"Serbian, English",Pop,0,Male,1,unknown,unknown,unknown,4,0,0,0,1,16.0,14.0,4.0,6.0,24.0,30.0,10.0,37.0,,37.0,0,unknown,0
3,Aija,Sudden Lights,0.556,0.548,9,-7.513,0,0.0694,0.0523,0.00011,0.0781,0.398,160.071,2023,1,4,,Latvia,English,Rock,-,Male,1,unknown,unknown,unknown,0,0,3,0,0,,,,,,,11.0,34.0,,34.0,0,unknown,0
4,Ai coraï¿½ï¿½o,"Sergio Assad, Thomas Ford, Mario Castelnuovo-Tedesco, Vinzenz Schuster, Giles Farnaby, Dusan Bogdanovic, Duo GolzDanilov",0.354,0.333,9,-17.127,1,0.0302,0.956,0.873,0.108,0.354,142.859,2023,1,5,2,Portugal,Portuguese,Pop,0,Female,1,unknown,unknown,unknown,4,0,0,0,1,16.0,43.0,3.0,9.0,23.0,59.0,9.0,74.0,,74.0,0,unknown,0
5,We Are One,Various Artists,0.58,0.46,7,-15.461,1,0.0554,0.643,6.52e-06,0.126,0.762,79.972,2023,1,6,,Ireland,English,Rock,-,Male,1,unknown,unknown,unknown,0,0,3,0,0,,,,,,,12.0,10.0,,10.0,0,unknown,0
6,Mama ï¿½C!,The Mamas & The Papas,0.408,0.43,2,-11.287,1,0.0342,0.823,0.0,0.153,0.621,107.455,2023,1,7,25,Croatia,Croatian,Pop,0,Male,1,unknown,unknown,unknown,0,4,0,0,0,112.0,11.0,20.0,2.0,13.0,123.0,8.0,76.0,,76.0,0,unknown,0
7,Watergun,1990nowhere,0.722,0.754,6,-5.28,0,0.0369,0.035,0.0,0.0846,0.9,121.037,2023,1,8,3,Switzerland,English,Ballad,0,Male,1,unknown,unknown,unknown,4,0,0,0,1,31.0,61.0,10.0,15.0,20.0,92.0,7.0,97.0,,97.0,0,unknown,0
8,Unicorn,ITS MUSIC,0.793,0.62,5,-7.09,1,0.0384,0.318,0.0,0.146,0.801,123.99,2023,1,9,23,Israel,English,Pop,0,Female,1,unknown,unknown,unknown,5,0,0,0,1,185.0,177.0,30.0,25.0,3.0,362.0,3.0,127.0,,127.0,0,unknown,0
9,Soarele si luna,Pasha Parfeni,0.619,0.857,8,-5.166,1,0.137,0.36,0.0,0.181,0.335,124.957,2023,1,10,18,Moldova,Romanian,Traditional,0,Male,1,unknown,unknown,unknown,0,2,3,0,1,76.0,20.0,17.0,4.0,18.0,96.0,5.0,109.0,,109.0,0,unknown,0
10,Tattoo,Loreen,0.545,0.779,3,-6.235,0,0.0751,0.243,1.66e-06,0.123,0.303,150.002,2023,1,11,9,Sweden,English,Pop,0,Female,1,unknown,unknown,unknown,0,0,0,0,1,243.0,340.0,36.0,36.0,1.0,583.0,2.0,135.0,,135.0,1,unknown,0
11,Tell Me More,"Beowülf, Luxx, E.friend",0.405,0.377,2,-17.39,1,0.147,0.779,0.0,0.318,0.509,133.838,2023,1,12,,Azerbaijan,English,Pop,-,Male,2,unknown,unknown,unknown,0,0,0,1,0,,,,,,,14.0,4.0,,4.0,0,unknown,0
12,My Sister's Crown,Vesna,0.545,0.919,4,-5.879,0,0.159,0.0512,0.0,0.369,0.508,149.869,2023,1,13,14,Czech Republic,"English,ï¿½Ukrainian,ï¿½Czech,ï¿½Bulgarian",Pop,0,Female,6,unknown,unknown,unknown,0,0,0,0,1,35.0,94.0,12.0,18.0,10.0,129.0,4.0,110.0,,110.0,0,unknown,0
13,Burning Daylight,"Mia Nicolai, Dion Cooper",0.282,0.433,3,-8.538,1,0.0353,0.584,0.0,0.11,0.288,71.294,2023,1,14,,The Netherlands,English,Ballad,-,Mix,2,unknown,unknown,unknown,0,0,0,0,0,,,,,,,13.0,7.0,,7.0,0,unknown,0
14,Cha Cha Cha,Käärijä,0.718,0.791,2,-5.572,1,0.0447,0.00207,0.00292,0.111,0.743,155.082,2023,1,15,13,Finland,Finnish,Pop,0,Male,1,unknown,unknown,unknown,4,0,0,0,1,376.0,150.0,37.0,22.0,2.0,526.0,1.0,177.0,,177.0,0,unknown,0
15,Breaking My Heart,Mitchell Tenpenny,0.657,0.883,1,-4.863,0,0.0349,0.0476,0.0,0.144,0.703,111.976,2023,2,1,,Denmark,English,Pop,-,Male,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,14.0,6.0,,6.0,0,unknown,0
16,Future Lover,Thee Sacred Souls,0.607,0.468,11,-7.587,1,0.0271,0.088,0.000155,0.0909,0.806,147.57,2023,2,2,17,Armenia,"English,ï¿½Armenian",Ballad,0,Female,1,unknown,unknown,unknown,0,0,0,0,1,53.0,69.0,10.0,15.0,14.0,122.0,6.0,99.0,,99.0,0,unknown,0
17,D.G.T. (Off and On),Theodor Andrei,0.681,0.746,9,-6.311,0,0.0348,0.222,0.0,0.246,0.84,109.998,2023,2,3,,Romania,"Romanian, English",Pop,-,Male,1,unknown,unknown,unknown,0,0,0,1,0,,,,,,,15.0,0.0,,0.0,0,unknown,0
18,Bridges,NEEDTOBREATHE,0.654,0.595,7,-5.354,0,0.0293,0.192,1.27e-05,0.132,0.207,101.032,2023,2,4,12,Estonia,English,Ballad,0,Female,1,unknown,unknown,unknown,0,0,0,1,1,22.0,146.0,4.0,22.0,8.0,168.0,10.0,74.0,,74.0,0,unknown,0
19,Because of You,Kelly Clarkson,0.583,0.584,5,-5.362,0,0.0314,0.254,0.0,0.123,0.136,140.039,2023,2,5,16,Belgium,English,Pop,0,Male,1,unknown,unknown,unknown,1,3,0,0,1,55.0,127.0,13.0,22.0,7.0,182.0,8.0,90.0,,90.0,0,unknown,0
20,Break a Broken Heart,SaraLisa,0.565,0.708,2,-6.423,1,0.0266,0.219,0.0,0.177,0.568,172.016,2023,2,6,7,Cyprus,English,Ballad,0,Male,1,unknown,unknown,unknown,0,0,0,0,1,58.0,68.0,11.0,17.0,12.0,126.0,7.0,94.0,,94.0,0,unknown,0
21,Power,Little Mix,0.566,0.855,7,-4.016,1,0.211,0.0372,0.000157,0.181,0.517,172.966,2023,2,7,,Iceland,English,Pop,-,Female,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,11.0,44.0,,44.0,0,unknown,0
22,What They Say,Nettspend,0.587,0.59,9,-9.408,1,0.299,0.0226,0.000103,0.0994,0.279,120.062,2023,2,8,,Greece,English,Pop,-,Male,1,unknown,unknown,unknown,0,0,0,0,0,,,,,,,13.0,14.0,,14.0,0,unknown,0
