song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,country,language,style,gender,main_singers,backing_dancers,backing_singers,backing_instruments,semi_place,eng_lan,inc_eng_lan,Male,Female,Pop,Rock,Ballad,Traditional,Dance,is_final
Queen of Kings,Alessandra,0.563,0.908,4,-4.25,0,0.0868,0.0696,0.0,0.328,0.171,125.972,2023,Norway,English,Pop,Female,1,4,0,0,6.0,1,0,0,1,1,0,0,0,0,1
Dance (Our Own Party),The Busker,0.695,0.778,5,-5.634,0,0.0407,0.0217,0.00359,0.182,0.824,103.015,2023,Malta,English,Pop,Male,1,0,0,2,15.0,1,0,1,0,1,0,0,0,0,0
Samo mi se spava,Luke Black,0.551,0.73,9,-8.288,1,0.0575,0.00839,0.00348,0.443,0.124,103.031,2023,Serbia,"Serbian, English",Pop,Male,1,4,0,0,10.0,0,1,1,0,1,0,0,0,0,1
Aija,Sudden Lights,0.556,0.548,9,-7.513,0,0.0694,0.0523,0.00011,0.0781,0.398,160.071,2023,Latvia,English,Rock,Male,1,0,0,3,11.0,1,0,1,0,0,1,0,0,0,0
Ai coraï¿½ï¿½o,"Sergio Assad, Thomas Ford, Mario Castelnuovo-Tedesco, Vinzenz Schuster, Giles Farnaby, Dusan Bogdanovic, Duo GolzDanilov",0.354,0.333,9,-17.127,1,0.0302,0.956,0.873,0.108,0.354,142.859,2023,Portugal,Portuguese,Pop,Female,1,4,0,0,9.0,0,0,0,1,1,0,0,0,0,1
We Are One,Various Artists,0.58,0.46,7,-15.461,1,0.0554,0.643,6.52e-06,0.126,0.762,79.972,2023,Ireland,English,Rock,Male,1,0,0,3,12.0,1,0,1,0,0,1,0,0,0,0
Mama ï¿½C!,The Mamas & The Papas,0.408,0.43,2,-11.287,1,0.0342,0.823,0.0,0.153,0.621,107.455,2023,Croatia,Croatian,Pop,Male,1,0,4,0,8.0,0,0,1,0,1,0,0,0,0,1
Watergun,1990nowhere,0.722,0.754,6,-5.28,0,0.0369,0.035,0.0,0.0846,0.9,121.037,2023,Switzerland,English,Ballad,Male,1,4,0,0,7.0,1,0,1,0,0,0,1,0,0,1
Unicorn,ITS MUSIC,0.793,0.62,5,-7.09,1,0.0384,0.318,0.0,0.146,0.801,123.99,2023,Israel,English,Pop,Female,1,5,0,0,3.0,1,0,0,1,1,0,0,0,0,1
Soarele si luna,Pasha Parfeni,0.619,0.857,8,-5.166,1,0.137,0.36,0.0,0.181,0.335,124.957,2023,Moldova,Romanian,Traditional,Male,1,0,2,3,5.0,0,0,1,0,0,0,0,1,0,1
